,location,company,title,salary,description,review,star,country
2,,Robert Half Australia,Business Analyst,"$110,000 a year","Excellent opportunity for an experienced BA to work within a growing Australian company.
Working as part of a transformation project this well-known client is…",,,Australia
3,,Robert Half Australia,Systems Analyst,"$125,000 a year","4 years' experience as systems accountant or business analyst preferred.
Partner with IT, FP&A and Business Analysis teams to analyse company performance,…",,,Australia
6,Sydney NSW,Perpetual,Graduate Data Analyst | Perpetual Corporate Trust | Sydney,,"Work with clients to ensure that data submissions are consistent with data definition glossary.
Ideally have some form of data analyst experience gained within…",,,Australia
7,Sydney NSW,International Institute of Data & Analytics,Junior Data Analyst/Scientist,,"In data science and big data analytics, the IDA creates enablers for:
Understand data structures and business and extract and integrate required data sources…",,,Australia
10,Sydney NSW,Atlassian,2021 Product Analytics/Data Science Graduate,,Super-launch your career through our experienced analyst mentoring while gaining invaluable exposure to the role of analytics and data science at a fast growing…,,,Australia
5,Sydney NSW,Macquarie Group Limited,"Data Analyst – Associate – permanent part time role, 3 days per week",,"Checking published/company data against information contained in our database and following up on discrepancies will be other key components, as will trouble…",,,Australia
4,Parramatta NSW,Westpac Group,Data & Reporting Analyst - 12 Month Contract - Parramatta,,"Exciting opportunity to join our Risk & Fraud Operations team in Parramatta.
The Data and Reporting Analyst will be responsible for the design, build and…",,,Australia
9,Parramatta NSW,Westpac Group,Data & Reporting Analyst - Parramatta,,"Exciting opportunity to join our Risk & Fraud Operations team in Parramatta.
The Data and Reporting Analyst will be responsible for the design, build and…",,,Australia
11,Sydney NSW,"Marsh & McLennan Companies, Inc.",Graduate Analyst,,"Supporting Consultants to undertake research and deliver client projects, using Mercer’s proprietary tools and models to complete data analytics and draft…",,,Australia
3,Sydney NSW,EY,"Graduate Data & Analytics Role, Financial Services Risk Advisory - Expressions of Interest - Sydney",,"You will be part of a specialist risk data and analytics team consisting of data engineers, visualisation specialists, insights analysts and data scientists.",,,Australia
6,Sydney NSW,Qantas Airways Limited,Analyst Campaign,,"Opportunity to join a high performing data driven team.
The ideal candidate will be a highly skilled digital individual who is results orientated, highly…",,,Australia
11,Sydney NSW,HelloFresh,Business Analyst - Intern,,"Extensive hands-on experience working with Excel at an advanced level, with the aspiration to expand your skills to other data analytical tools such as SQL.",,,Australia
